GeoName,Education,Sex,Industry,Median Income
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,"Trades, services, natural resources and conservation",48009
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Science and science technology,58635
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Engineering and engineering technology,67396
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Mathematics and computer and information science,53080
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Business and administration,49406
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Arts and humanities,38884
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Social and behavioural sciences,48671
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Legal professions and studies,49068
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Health care,53280
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,Education and teaching,54532
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Male,"Trades, services, natural resources and conservation",54195
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Science and science technology,62876
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Engineering and engineering technology,48961
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Mathematics and computer and information science,42892
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Business and administration,40091
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Arts and humanities,35590
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Social and behavioural sciences,32153
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Legal professions and studies,42971
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Health care,41821
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,Education and teaching,38725
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Female,"Trades, services, natural resources and conservation",31374
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Science and science technology,66185
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Engineering and engineering technology,86459
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Mathematics and computer and information science,72707
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Business and administration,67512
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Arts and humanities,48526
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Social and behavioural sciences,54831
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Legal professions and studies,97112
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Health care,80270
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,Education and teaching,73936
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Both sexes,"Trades, services, natural resources and conservation",69684
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Male,Science and science technology,74401
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Male,Engineering and engineering technology,87693
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Male,Mathematics and computer and information science,74449
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Male,Business and administration,75319
Nova Scotia,"University certificate, diploma or degree at bachelor level or above",Male,Arts and humanities,55085
