GeoName,Education,Age,Sex,Industry,Median Income
Canada,Master's degree,30 to 44 years,Male,"Trades, services, natural resources and conservation",74717
Canada,Master's degree,45 to 59 years,Male,Science and science technology,89211
Canada,Master's degree,45 to 59 years,Male,Engineering and engineering technology,104294
Canada,Master's degree,45 to 59 years,Male,Mathematics and computer and information science,94185
Canada,Master's degree,45 to 59 years,Male,Business and administration,116472
Canada,Master's degree,45 to 59 years,Male,Arts and humanities,70489
Canada,Master's degree,45 to 59 years,Male,Social and behavioural sciences,91147
Canada,Master's degree,45 to 59 years,Male,Legal professions and studies,128320
Canada,Master's degree,45 to 59 years,Male,Health care,100282
Canada,Master's degree,45 to 59 years,Male,Education and teaching,95946
Canada,Master's degree,45 to 59 years,Male,"Trades, services, natural resources and conservation",91209
Canada,Master's degree,60 years and over,Male,Science and science technology,84819
Canada,Master's degree,60 years and over,Male,Engineering and engineering technology,100226
Canada,Master's degree,60 years and over,Male,Mathematics and computer and information science,96054
Canada,Master's degree,60 years and over,Male,Business and administration,102890
Canada,Master's degree,60 years and over,Male,Arts and humanities,62807
Canada,Master's degree,60 years and over,Male,Social and behavioural sciences,79287
Canada,Master's degree,60 years and over,Male,Legal professions and studies,121621
Canada,Master's degree,60 years and over,Male,Health care,96257
Canada,Master's degree,60 years and over,Male,Education and teaching,84828
Canada,Master's degree,60 years and over,Male,"Trades, services, natural resources and conservation",83675
Canada,Master's degree,15 to 29 years,Female,Science and science technology,44139
Canada,Master's degree,15 to 29 years,Female,Engineering and engineering technology,58922
Canada,Master's degree,15 to 29 years,Female,Mathematics and computer and information science,58514
Canada,Master's degree,15 to 29 years,Female,Business and administration,55535
Canada,Master's degree,15 to 29 years,Female,Arts and humanities,38398
Canada,Master's degree,15 to 29 years,Female,Social and behavioural sciences,49141
Canada,Master's degree,15 to 29 years,Female,Legal professions and studies,52157
Canada,Master's degree,15 to 29 years,Female,Health care,60876
Canada,Master's degree,15 to 29 years,Female,Education and teaching,48949
Canada,Master's degree,15 to 29 years,Female,"Trades, services, natural resources and conservation",51868
Canada,Master's degree,30 to 44 years,Female,Science and science technology,68777
Canada,Master's degree,30 to 44 years,Female,Engineering and engineering technology,82602
Canada,Master's degree,30 to 44 years,Female,Mathematics and computer and information science,74401
Canada,Master's degree,30 to 44 years,Female,Business and administration,79860
Canada,Master's degree,30 to 44 years,Female,Arts and humanities,53686
Canada,Master's degree,30 to 44 years,Female,Social and behavioural sciences,67680
Canada,Master's degree,30 to 44 years,Female,Legal professions and studies,86242
Canada,Master's degree,30 to 44 years,Female,Health care,79525
Canada,Master's degree,30 to 44 years,Female,Education and teaching,78102
Canada,Master's degree,30 to 44 years,Female,"Trades, services, natural resources and conservation",70357
Canada,Master's degree,45 to 59 years,Female,Science and science technology,80646
